id,de_DE,fr_FR,it_IT,ja_JP,ko_KR,pt_BR,pl_PL,tr_TR,uk_UA
57a40c5d-62a1-4f08-9c14-7c6c818b424e,d168067e-0daa-4c59-b4ce-b6b853e17b7c,36213666-da58-4c8c-960b-d5d48880eadc,4433707c-cbad-45d8-8ab7-2a7bb50f8b1e,be5c48c4-ef83-442a-9e45-ba3b44cbb438,c0448f3a-39ce-4f6b-b51c-91fdd6f79b90,71c30900-62a6-4348-8108-71a795348d3e,db8b6254-9a24-4e40-90c3-2553e77d0bc6,8567c623-b5f7-4364-b52a-d6f2cc76306d,dc33c7ce-12b8-443b-bbaf-28b7e90cf08e
3c099441-57e3-44b0-adf6-bbf2fd6e2dbf,7bf16bb9-9997-4a8c-a567-6d0de23cbf4c,43d9a424-05a4-4b22-a456-cf9a1dba1a0f,fc2c4ceb-6208-4c97-88e9-5280125eba5b,7c79a5e2-3287-4326-94aa-9134d8a09df5,469c6055-a2bf-4536-bbb2-20cb1be709bf,9ad63f71-11df-4e7e-97fd-5ac028c30d4e,e0e6390e-0c21-4010-b108-4b54f29e829b,a38a8db4-0a92-48cc-80aa-2370c291a24d,3620abe6-3cb4-42e6-9646-6bab3ddb2b19
c60fda5c-a497-42a1-996d-3dc0248279e4,,,,,,,,,
20b3de09-3a94-4bc1-8c72-1bae7b4e07fa,,,,,,,,,
f1d7cef7-3be7-43e1-83b7-02fa36d22916,,,,,,,,,
3df6ed3e-73ac-406e-931b-04a1c3ef2dda,,,,,,,,,
46415e5d-1532-4c15-a38a-585ad24bb4c7,,,,,,,,,
be3cf7f9-dbd1-4e2b-a07c-668b7e88dcd2,,,,,,,,,
a876f373-44ce-4dc2-9fa0-86acfc10983e,,,,,,,,,
00441b34-4a90-42a8-a459-bc56778c871d,,,,,,,,,
6f116d7f-95fc-41c2-824c-a14f108f678c,,,,,,,,,
27dcd8a0-66b1-4aa0-8545-9415724c995e,,,,,,,,,
9afce3e1-3bbd-497b-9af0-c015733e5c4b,,,,,,,,,
